epoch,train_loss,val_loss,val_acc,activation,init,bound,act_mean,act_std,frac_zero,grad_norm
31,0.43104625,0.940776643,0.7253,tanh,naive_uniform,0.005,-0.08229816,0.222573062,0,0.960246589
46,0.295737752,1.043931119,0.7259,tanh,naive_uniform,0.005,-0.086982771,0.262885579,0,1.452655944
50,0.292251148,1.101980861,0.726,tanh,naive_uniform,0.005,-0.092457624,0.272072297,2.65E-08,1.193686583
37,0.356694236,0.973666387,0.7264,tanh,naive_uniform,0.005,-0.086771526,0.237446724,0,1.565908106
48,0.285626611,1.091753942,0.7266,tanh,naive_uniform,0.005,-0.090284668,0.265074918,2.65E-08,1.346995334
23,0.54887827,0.87987405,0.7268,tanh,naive_uniform,0.005,-0.075046962,0.184368919,0,0.967189443
40,0.32701188,0.981560801,0.7272,tanh,naive_uniform,0.005,-0.087855214,0.247963477,0,1.178679706
49,0.297132904,1.079944201,0.7274,tanh,naive_uniform,0.005,-0.090170792,0.270761963,0,1.613957778
45,0.305068441,1.021621978,0.7311,tanh,naive_uniform,0.005,-0.090668547,0.261475058,0,1.419976643
41,0.311246264,1.010634682,0.7341,tanh,naive_uniform,0.005,-0.087710321,0.252218909,0,1.035891298
47,0.293630491,1.02429366,0.7378,tanh,naive_uniform,0.005,-0.090543288,0.26444698,0,1.422037707
